Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Borgo Valsugana",PM10,2013-12-17,19,66,µg/mc
"Borgo Valsugana",PM10,2013-12-17,20,70,µg/mc
"Borgo Valsugana",PM10,2013-12-17,21,58,µg/mc
"Borgo Valsugana",PM10,2013-12-17,22,54,µg/mc
"Borgo Valsugana",PM10,2013-12-17,23,55,µg/mc
"Borgo Valsugana",PM10,2013-12-17,24,52,µg/mc
"Borgo Valsugana",PM10,2013-12-18,1,47,µg/mc
"Borgo Valsugana",PM10,2013-12-18,2,42,µg/mc
"Borgo Valsugana",PM10,2013-12-18,3,36,µg/mc
"Borgo Valsugana",PM10,2013-12-18,4,33,µg/mc
"Borgo Valsugana",PM10,2013-12-18,5,30,µg/mc
"Borgo Valsugana",PM10,2013-12-18,6,29,µg/mc
"Borgo Valsugana",PM10,2013-12-18,7,27,µg/mc
"Borgo Valsugana",PM10,2013-12-18,8,31,µg/mc
"Borgo Valsugana",PM10,2013-12-18,9,37,µg/mc
"Borgo Valsugana",PM10,2013-12-18,10,42,µg/mc
"Borgo Valsugana",PM10,2013-12-18,11,46,µg/mc
"Borgo Valsugana",PM10,2013-12-18,12,36,µg/mc
"Borgo Valsugana",PM10,2013-12-18,13,28,µg/mc
"Borgo Valsugana",PM10,2013-12-18,14,21,µg/mc
"Borgo Valsugana",PM10,2013-12-18,15,32,µg/mc
"Borgo Valsugana",PM10,2013-12-18,16,71,µg/mc
"Borgo Valsugana",PM10,2013-12-18,17,87,µg/mc
"Borgo Valsugana",PM10,2013-12-18,18,113,µg/mc
"Borgo Valsugana",PM10,2013-12-18,19,86,µg/mc
"Borgo Valsugana",PM10,2013-12-18,20,77,µg/mc
"Borgo Valsugana",PM10,2013-12-18,21,90,µg/mc
"Borgo Valsugana",PM10,2013-12-18,22,88,µg/mc
"Borgo Valsugana",PM10,2013-12-18,23,64,µg/mc
"Borgo Valsugana",PM10,2013-12-18,24,64,µg/mc
"Borgo Valsugana",PM10,2013-12-19,1,64,µg/mc
"Borgo Valsugana",PM10,2013-12-19,2,52,µg/mc
"Borgo Valsugana",PM10,2013-12-19,3,48,µg/mc
"Borgo Valsugana",PM10,2013-12-19,4,44,µg/mc
"Borgo Valsugana",PM10,2013-12-19,5,39,µg/mc
"Borgo Valsugana",PM10,2013-12-19,6,38,µg/mc
"Borgo Valsugana",PM10,2013-12-19,7,41,µg/mc
"Borgo Valsugana",PM10,2013-12-19,8,49,µg/mc
"Borgo Valsugana",PM10,2013-12-19,9,48,µg/mc
"Borgo Valsugana",PM10,2013-12-19,10,54,µg/mc
"Borgo Valsugana",PM10,2013-12-19,11,47,µg/mc
"Borgo Valsugana",PM10,2013-12-19,12,46,µg/mc
"Borgo Valsugana",PM10,2013-12-19,13,56,µg/mc
"Borgo Valsugana",PM10,2013-12-19,14,52,µg/mc
"Borgo Valsugana",PM10,2013-12-19,15,62,µg/mc
"Borgo Valsugana",PM10,2013-12-19,16,64,µg/mc
"Borgo Valsugana",PM10,2013-12-19,17,66,µg/mc
"Borgo Valsugana",PM10,2013-12-19,18,111,µg/mc
"Borgo Valsugana",PM10,2013-12-19,19,80,µg/mc
"Borgo Valsugana",PM10,2013-12-19,20,121,µg/mc
"Borgo Valsugana",PM10,2013-12-19,21,114,µg/mc
"Borgo Valsugana",PM10,2013-12-19,22,99,µg/mc
"Borgo Valsugana",PM10,2013-12-19,23,110,µg/mc
"Borgo Valsugana",PM10,2013-12-19,24,111,µg/mc
"Borgo Valsugana",PM10,2013-12-20,1,92,µg/mc
"Borgo Valsugana",PM10,2013-12-20,2,89,µg/mc
"Borgo Valsugana",PM10,2013-12-20,3,71,µg/mc
"Borgo Valsugana",PM10,2013-12-20,4,63,µg/mc
"Borgo Valsugana",PM10,2013-12-20,5,68,µg/mc
"Borgo Valsugana",PM10,2013-12-20,6,75,µg/mc
"Borgo Valsugana",PM10,2013-12-20,7,74,µg/mc
"Borgo Valsugana",PM10,2013-12-20,8,79,µg/mc
"Borgo Valsugana",PM10,2013-12-20,9,70,µg/mc
"Borgo Valsugana",PM10,2013-12-20,10,59,µg/mc
"Borgo Valsugana",PM10,2013-12-20,11,75,µg/mc
"Borgo Valsugana",PM10,2013-12-20,12,57,µg/mc
"Borgo Valsugana",PM10,2013-12-20,13,57,µg/mc
"Borgo Valsugana",PM10,2013-12-20,14,48,µg/mc
"Borgo Valsugana",PM10,2013-12-20,15,49,µg/mc
"Borgo Valsugana",PM10,2013-12-20,16,49,µg/mc
"Borgo Valsugana",PM10,2013-12-20,17,56,µg/mc
"Borgo Valsugana",PM10,2013-12-20,18,70,µg/mc
"Borgo Valsugana",PM10,2013-12-20,19,74,µg/mc
"Borgo Valsugana",PM10,2013-12-20,20,63,µg/mc
"Borgo Valsugana",PM10,2013-12-20,21,70,µg/mc
"Borgo Valsugana",PM10,2013-12-20,22,78,µg/mc
"Borgo Valsugana",PM10,2013-12-20,23,77,µg/mc
"Borgo Valsugana",PM10,2013-12-20,24,79,µg/mc
"Borgo Valsugana",PM10,2013-12-21,1,75,µg/mc
"Borgo Valsugana",PM10,2013-12-21,2,74,µg/mc
"Borgo Valsugana",PM10,2013-12-21,3,73,µg/mc
"Borgo Valsugana",PM10,2013-12-21,4,68,µg/mc
"Borgo Valsugana",PM10,2013-12-21,5,65,µg/mc
"Borgo Valsugana",PM10,2013-12-21,6,61,µg/mc
"Borgo Valsugana",PM10,2013-12-21,7,60,µg/mc
"Borgo Valsugana",PM10,2013-12-21,8,63,µg/mc
"Borgo Valsugana",PM10,2013-12-21,9,60,µg/mc
"Borgo Valsugana",PM10,2013-12-21,10,60,µg/mc
"Borgo Valsugana",PM10,2013-12-21,11,61,µg/mc
"Borgo Valsugana",PM10,2013-12-21,12,52,µg/mc
"Borgo Valsugana",PM10,2013-12-21,13,52,µg/mc
"Borgo Valsugana",PM10,2013-12-21,14,46,µg/mc
"Borgo Valsugana",PM10,2013-12-21,15,50,µg/mc
"Borgo Valsugana",PM10,2013-12-21,16,54,µg/mc
"Borgo Valsugana",PM10,2013-12-21,17,74,µg/mc
"Borgo Valsugana",PM10,2013-12-21,18,109,µg/mc
"Borgo Valsugana",PM10,2013-12-21,19,78,µg/mc
"Borgo Valsugana",PM10,2013-12-21,20,68,µg/mc
"Borgo Valsugana",PM10,2013-12-21,21,73,µg/mc
"Borgo Valsugana",PM10,2013-12-21,22,77,µg/mc
"Borgo Valsugana",PM10,2013-12-21,23,80,µg/mc
"Borgo Valsugana",PM10,2013-12-21,24,87,µg/mc
"Borgo Valsugana",PM10,2013-12-22,1,79,µg/mc
"Borgo Valsugana",PM10,2013-12-22,2,76,µg/mc
"Borgo Valsugana",PM10,2013-12-22,3,75,µg/mc
"Borgo Valsugana",PM10,2013-12-22,4,70,µg/mc
"Borgo Valsugana",PM10,2013-12-22,5,65,µg/mc
"Borgo Valsugana",PM10,2013-12-22,6,60,µg/mc
"Borgo Valsugana",PM10,2013-12-22,7,53,µg/mc
"Borgo Valsugana",PM10,2013-12-22,8,58,µg/mc
"Borgo Valsugana",PM10,2013-12-22,9,60,µg/mc
"Borgo Valsugana",PM10,2013-12-22,10,66,µg/mc
"Borgo Valsugana",PM10,2013-12-22,11,62,µg/mc
"Borgo Valsugana",PM10,2013-12-22,12,52,µg/mc
"Borgo Valsugana",PM10,2013-12-22,13,62,µg/mc
"Borgo Valsugana",PM10,2013-12-22,14,59,µg/mc
"Borgo Valsugana",PM10,2013-12-22,15,50,µg/mc
"Borgo Valsugana",PM10,2013-12-22,16,58,µg/mc
"Borgo Valsugana",PM10,2013-12-22,17,67,µg/mc
"Borgo Valsugana",PM10,2013-12-22,18,86,µg/mc
"Borgo Valsugana",PM10,2013-12-22,19,92,µg/mc
"Borgo Valsugana",PM10,2013-12-22,20,94,µg/mc
"Borgo Valsugana",PM10,2013-12-22,21,68,µg/mc
"Borgo Valsugana",PM10,2013-12-22,22,74,µg/mc
"Borgo Valsugana",PM10,2013-12-22,23,80,µg/mc
"Borgo Valsugana",PM10,2013-12-22,24,80,µg/mc
"Borgo Valsugana",PM10,2013-12-23,1,75,µg/mc
"Borgo Valsugana",PM10,2013-12-23,2,74,µg/mc
"Borgo Valsugana",PM10,2013-12-23,3,69,µg/mc
"Borgo Valsugana",PM10,2013-12-23,4,65,µg/mc
"Borgo Valsugana",PM10,2013-12-23,5,65,µg/mc
"Borgo Valsugana",PM10,2013-12-23,6,65,µg/mc
"Borgo Valsugana",PM10,2013-12-23,7,66,µg/mc
"Borgo Valsugana",PM10,2013-12-23,8,63,µg/mc
"Borgo Valsugana",PM10,2013-12-23,9,68,µg/mc
"Borgo Valsugana",PM10,2013-12-23,10,65,µg/mc
"Borgo Valsugana",PM10,2013-12-23,11,58,µg/mc
"Borgo Valsugana",PM10,2013-12-23,12,54,µg/mc
"Borgo Valsugana",PM10,2013-12-23,13,57,µg/mc
"Borgo Valsugana",PM10,2013-12-23,14,53,µg/mc
"Borgo Valsugana",PM10,2013-12-23,15,52,µg/mc
"Borgo Valsugana",PM10,2013-12-23,16,57,µg/mc
"Borgo Valsugana",PM10,2013-12-23,17,74,µg/mc
"Borgo Valsugana",PM10,2013-12-23,18,77,µg/mc
"Borgo Valsugana",PM10,2013-12-23,19,69,µg/mc
"Borgo Valsugana",PM10,2013-12-23,20,70,µg/mc
"Borgo Valsugana",PM10,2013-12-23,21,65,µg/mc
"Borgo Valsugana",PM10,2013-12-23,22,54,µg/mc
"Borgo Valsugana",PM10,2013-12-23,23,63,µg/mc
"Borgo Valsugana",PM10,2013-12-23,24,54,µg/mc
"Borgo Valsugana",PM10,2013-12-24,1,56,µg/mc
"Borgo Valsugana",PM10,2013-12-24,2,45,µg/mc
"Borgo Valsugana",PM10,2013-12-24,3,42,µg/mc
"Borgo Valsugana",PM10,2013-12-24,4,39,µg/mc
"Borgo Valsugana",PM10,2013-12-24,5,33,µg/mc
"Borgo Valsugana",PM10,2013-12-24,6,36,µg/mc
"Borgo Valsugana",PM10,2013-12-24,7,39,µg/mc
"Borgo Valsugana",PM10,2013-12-24,8,46,µg/mc
