Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2013-11-01,1,23,µg/mc
"Parco S. Chiara",PM10,2013-11-01,2,25,µg/mc
"Parco S. Chiara",PM10,2013-11-01,3,23,µg/mc
"Parco S. Chiara",PM10,2013-11-01,4,21,µg/mc
"Parco S. Chiara",PM10,2013-11-01,5,20,µg/mc
"Parco S. Chiara",PM10,2013-11-01,6,20,µg/mc
"Parco S. Chiara",PM10,2013-11-01,7,22,µg/mc
"Parco S. Chiara",PM10,2013-11-01,8,24,µg/mc
"Parco S. Chiara",PM10,2013-11-01,9,26,µg/mc
"Parco S. Chiara",PM10,2013-11-01,10,24,µg/mc
"Parco S. Chiara",PM10,2013-11-01,11,23,µg/mc
"Parco S. Chiara",PM10,2013-11-01,12,18,µg/mc
"Parco S. Chiara",PM10,2013-11-01,13,18,µg/mc
"Parco S. Chiara",PM10,2013-11-01,14,18,µg/mc
"Parco S. Chiara",PM10,2013-11-01,15,20,µg/mc
"Parco S. Chiara",PM10,2013-11-01,16,22,µg/mc
"Parco S. Chiara",PM10,2013-11-01,17,27,µg/mc
"Parco S. Chiara",PM10,2013-11-01,18,36,µg/mc
"Parco S. Chiara",PM10,2013-11-01,19,45,µg/mc
"Parco S. Chiara",PM10,2013-11-01,20,38,µg/mc
"Parco S. Chiara",PM10,2013-11-01,21,43,µg/mc
"Parco S. Chiara",PM10,2013-11-01,22,47,µg/mc
"Parco S. Chiara",PM10,2013-11-01,23,50,µg/mc
"Parco S. Chiara",PM10,2013-11-01,24,49,µg/mc
"Parco S. Chiara",PM10,2013-11-02,1,40,µg/mc
"Parco S. Chiara",PM10,2013-11-02,2,49,µg/mc
"Parco S. Chiara",PM10,2013-11-02,3,50,µg/mc
"Parco S. Chiara",PM10,2013-11-02,4,40,µg/mc
"Parco S. Chiara",PM10,2013-11-02,5,42,µg/mc
"Parco S. Chiara",PM10,2013-11-02,6,33,µg/mc
"Parco S. Chiara",PM10,2013-11-02,7,39,µg/mc
"Parco S. Chiara",PM10,2013-11-02,8,26,µg/mc
"Parco S. Chiara",PM10,2013-11-02,9,38,µg/mc
"Parco S. Chiara",PM10,2013-11-02,10,42,µg/mc
"Parco S. Chiara",PM10,2013-11-02,11,43,µg/mc
"Parco S. Chiara",PM10,2013-11-02,12,43,µg/mc
"Parco S. Chiara",PM10,2013-11-02,13,42,µg/mc
"Parco S. Chiara",PM10,2013-11-02,14,35,µg/mc
"Parco S. Chiara",PM10,2013-11-02,15,29,µg/mc
"Parco S. Chiara",PM10,2013-11-02,16,27,µg/mc
"Parco S. Chiara",PM10,2013-11-02,17,26,µg/mc
"Parco S. Chiara",PM10,2013-11-02,18,28,µg/mc
"Parco S. Chiara",PM10,2013-11-02,19,33,µg/mc
"Parco S. Chiara",PM10,2013-11-02,20,32,µg/mc
"Parco S. Chiara",PM10,2013-11-02,21,32,µg/mc
"Parco S. Chiara",PM10,2013-11-02,22,33,µg/mc
"Parco S. Chiara",PM10,2013-11-02,23,33,µg/mc
"Parco S. Chiara",PM10,2013-11-02,24,33,µg/mc
"Parco S. Chiara",PM10,2013-11-03,1,35,µg/mc
"Parco S. Chiara",PM10,2013-11-03,2,37,µg/mc
"Parco S. Chiara",PM10,2013-11-03,3,41,µg/mc
"Parco S. Chiara",PM10,2013-11-03,4,50,µg/mc
"Parco S. Chiara",PM10,2013-11-03,5,52,µg/mc
"Parco S. Chiara",PM10,2013-11-03,6,35,µg/mc
"Parco S. Chiara",PM10,2013-11-03,7,20,µg/mc
"Parco S. Chiara",PM10,2013-11-03,8,15,µg/mc
"Parco S. Chiara",PM10,2013-11-03,9,11,µg/mc
"Parco S. Chiara",PM10,2013-11-03,10,10,µg/mc
"Parco S. Chiara",PM10,2013-11-03,11,9,µg/mc
"Parco S. Chiara",PM10,2013-11-03,12,8,µg/mc
"Parco S. Chiara",PM10,2013-11-03,13,6,µg/mc
"Parco S. Chiara",PM10,2013-11-03,14,5,µg/mc
"Parco S. Chiara",PM10,2013-11-03,15,6,µg/mc
"Parco S. Chiara",PM10,2013-11-03,16,12,µg/mc
"Parco S. Chiara",PM10,2013-11-03,17,10,µg/mc
"Parco S. Chiara",PM10,2013-11-03,18,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,19,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,20,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,21,1,µg/mc
"Parco S. Chiara",PM10,2013-11-03,22,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,23,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,24,2,µg/mc
"Parco S. Chiara",PM10,2013-11-04,1,2,µg/mc
"Parco S. Chiara",PM10,2013-11-04,2,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,3,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,4,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,5,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,6,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,7,4,µg/mc
"Parco S. Chiara",PM10,2013-11-04,8,4,µg/mc
"Parco S. Chiara",PM10,2013-11-04,9,5,µg/mc
"Parco S. Chiara",PM10,2013-11-04,10,6,µg/mc
"Parco S. Chiara",PM10,2013-11-04,11,5,µg/mc
"Parco S. Chiara",PM10,2013-11-04,12,6,µg/mc
"Parco S. Chiara",PM10,2013-11-04,13,6,µg/mc
"Parco S. Chiara",PM10,2013-11-04,14,7,µg/mc
"Parco S. Chiara",PM10,2013-11-04,15,8,µg/mc
"Parco S. Chiara",PM10,2013-11-04,16,11,µg/mc
"Parco S. Chiara",PM10,2013-11-04,17,14,µg/mc
"Parco S. Chiara",PM10,2013-11-04,18,15,µg/mc
"Parco S. Chiara",PM10,2013-11-04,19,15,µg/mc
"Parco S. Chiara",PM10,2013-11-04,20,14,µg/mc
"Parco S. Chiara",PM10,2013-11-04,21,12,µg/mc
"Parco S. Chiara",PM10,2013-11-04,22,10,µg/mc
"Parco S. Chiara",PM10,2013-11-04,23,10,µg/mc
"Parco S. Chiara",PM10,2013-11-04,24,10,µg/mc
"Parco S. Chiara",PM10,2013-11-05,1,11,µg/mc
"Parco S. Chiara",PM10,2013-11-05,2,12,µg/mc
"Parco S. Chiara",PM10,2013-11-05,3,12,µg/mc
"Parco S. Chiara",PM10,2013-11-05,4,13,µg/mc
"Parco S. Chiara",PM10,2013-11-05,5,12,µg/mc
"Parco S. Chiara",PM10,2013-11-05,6,13,µg/mc
"Parco S. Chiara",PM10,2013-11-05,7,12,µg/mc
"Parco S. Chiara",PM10,2013-11-05,8,14,µg/mc
"Parco S. Chiara",PM10,2013-11-05,9,14,µg/mc
"Parco S. Chiara",PM10,2013-11-05,10,13,µg/mc
"Parco S. Chiara",PM10,2013-11-05,11,10,µg/mc
"Parco S. Chiara",PM10,2013-11-05,12,6,µg/mc
"Parco S. Chiara",PM10,2013-11-05,13,5,µg/mc
"Parco S. Chiara",PM10,2013-11-05,14,5,µg/mc
"Parco S. Chiara",PM10,2013-11-05,15,6,µg/mc
"Parco S. Chiara",PM10,2013-11-05,16,8,µg/mc
"Parco S. Chiara",PM10,2013-11-05,17,10,µg/mc
"Parco S. Chiara",PM10,2013-11-05,18,18,µg/mc
"Parco S. Chiara",PM10,2013-11-05,19,19,µg/mc
"Parco S. Chiara",PM10,2013-11-05,20,21,µg/mc
"Parco S. Chiara",PM10,2013-11-05,21,27,µg/mc
"Parco S. Chiara",PM10,2013-11-05,22,22,µg/mc
"Parco S. Chiara",PM10,2013-11-05,23,20,µg/mc
"Parco S. Chiara",PM10,2013-11-05,24,20,µg/mc
"Parco S. Chiara",PM10,2013-11-06,1,23,µg/mc
"Parco S. Chiara",PM10,2013-11-06,2,22,µg/mc
"Parco S. Chiara",PM10,2013-11-06,3,18,µg/mc
"Parco S. Chiara",PM10,2013-11-06,4,16,µg/mc
"Parco S. Chiara",PM10,2013-11-06,5,13,µg/mc
"Parco S. Chiara",PM10,2013-11-06,6,12,µg/mc
"Parco S. Chiara",PM10,2013-11-06,7,11,µg/mc
"Parco S. Chiara",PM10,2013-11-06,8,12,µg/mc
"Parco S. Chiara",PM10,2013-11-06,9,12,µg/mc
"Parco S. Chiara",PM10,2013-11-06,10,12,µg/mc
"Parco S. Chiara",PM10,2013-11-06,11,8,µg/mc
"Parco S. Chiara",PM10,2013-11-06,12,6,µg/mc
"Parco S. Chiara",PM10,2013-11-06,13,5,µg/mc
"Parco S. Chiara",PM10,2013-11-06,14,5,µg/mc
"Parco S. Chiara",PM10,2013-11-06,15,6,µg/mc
"Parco S. Chiara",PM10,2013-11-06,16,7,µg/mc
"Parco S. Chiara",PM10,2013-11-06,17,7,µg/mc
"Parco S. Chiara",PM10,2013-11-06,18,8,µg/mc
"Parco S. Chiara",PM10,2013-11-06,19,15,µg/mc
"Parco S. Chiara",PM10,2013-11-06,20,19,µg/mc
"Parco S. Chiara",PM10,2013-11-06,21,27,µg/mc
"Parco S. Chiara",PM10,2013-11-06,22,21,µg/mc
"Parco S. Chiara",PM10,2013-11-06,23,16,µg/mc
"Parco S. Chiara",PM10,2013-11-06,24,16,µg/mc
"Parco S. Chiara",PM10,2013-11-07,1,14,µg/mc
"Parco S. Chiara",PM10,2013-11-07,2,13,µg/mc
"Parco S. Chiara",PM10,2013-11-07,3,12,µg/mc
"Parco S. Chiara",PM10,2013-11-07,4,12,µg/mc
"Parco S. Chiara",PM10,2013-11-07,5,10,µg/mc
"Parco S. Chiara",PM10,2013-11-07,6,10,µg/mc
"Parco S. Chiara",PM10,2013-11-07,7,10,µg/mc
"Parco S. Chiara",PM10,2013-11-07,8,13,µg/mc
"Parco S. Chiara",PM10,2013-11-07,9,16,µg/mc
"Parco S. Chiara",PM10,2013-11-07,10,12,µg/mc
"Parco S. Chiara",PM10,2013-11-07,11,9,µg/mc
"Parco S. Chiara",PM10,2013-11-07,12,7,µg/mc
"Parco S. Chiara",PM10,2013-11-07,13,6,µg/mc
"Parco S. Chiara",PM10,2013-11-07,14,7,µg/mc
"Parco S. Chiara",PM10,2013-11-07,15,7,µg/mc
"Parco S. Chiara",PM10,2013-11-07,16,11,µg/mc
"Parco S. Chiara",PM10,2013-11-07,17,23,µg/mc
"Parco S. Chiara",PM10,2013-11-07,18,34,µg/mc
"Parco S. Chiara",PM10,2013-11-07,19,36,µg/mc
"Parco S. Chiara",PM10,2013-11-07,20,41,µg/mc
"Parco S. Chiara",PM10,2013-11-07,21,42,µg/mc
"Parco S. Chiara",PM10,2013-11-07,22,42,µg/mc
"Parco S. Chiara",PM10,2013-11-07,23,40,µg/mc
"Parco S. Chiara",PM10,2013-11-07,24,26,µg/mc
"Parco S. Chiara",PM10,2013-11-08,1,23,µg/mc
"Parco S. Chiara",PM10,2013-11-08,2,22,µg/mc
"Parco S. Chiara",PM10,2013-11-08,3,21,µg/mc
"Parco S. Chiara",PM10,2013-11-08,4,20,µg/mc
"Parco S. Chiara",PM10,2013-11-08,5,19,µg/mc
"Parco S. Chiara",PM10,2013-11-08,6,18,µg/mc
"Parco S. Chiara",PM10,2013-11-08,7,18,µg/mc
"Parco S. Chiara",PM10,2013-11-08,8,18,µg/mc
"Parco S. Chiara",PM10,2013-11-08,9,20,µg/mc
"Parco S. Chiara",PM10,2013-11-08,10,22,µg/mc
"Parco S. Chiara",PM10,2013-11-08,11,21,µg/mc
"Parco S. Chiara",PM10,2013-11-08,12,21,µg/mc
"Parco S. Chiara",PM10,2013-11-08,13,18,µg/mc
"Parco S. Chiara",PM10,2013-11-08,14,19,µg/mc
"Parco S. Chiara",PM10,2013-11-08,15,20,µg/mc
"Parco S. Chiara",PM10,2013-11-08,16,19,µg/mc
"Parco S. Chiara",PM10,2013-11-08,17,21,µg/mc
"Parco S. Chiara",PM10,2013-11-08,18,22,µg/mc
"Parco S. Chiara",PM10,2013-11-08,19,25,µg/mc
"Parco S. Chiara",PM10,2013-11-08,20,26,µg/mc
"Parco S. Chiara",PM10,2013-11-08,21,31,µg/mc
"Parco S. Chiara",PM10,2013-11-08,22,32,µg/mc
"Parco S. Chiara",PM10,2013-11-08,23,29,µg/mc
"Parco S. Chiara",PM10,2013-11-08,24,29,µg/mc
"Parco S. Chiara",PM10,2013-11-09,1,32,µg/mc
